personnel_id,service_number,name,rank,is_jawan_rank,unit_id,region_type,posting_type,date_of_birth,date_of_joining,years_of_service,current_posting_start_date,family_separated,unit_operational_tempo,exposure_propensity,benign_profile
P00001,50549847,Personnel 0001,Assistant Commandant,False,U002,insurgency_affected,field,1999-03-16,2022-11-18,3.79,2026-04-10,True,0.782,0.6791,
P00002,25160454,Personnel 0002,Constable,True,U015,insurgency_affected,field,1987-10-25,2013-03-11,13.47,2024-06-10,False,0.8363,0.3589,
P00003,96519272,Personnel 0003,Constable,True,U013,border,hard_area,2002-05-22,2023-08-30,3.01,2024-03-06,True,0.5538,0.4779,
P00004,52290143,Personnel 0004,Assistant Sub-Inspector,True,U004,urban_static,static_station,1998-11-22,2024-09-01,2.0,2025-08-01,False,0.4395,0.2292,
P00005,72540238,Personnel 0005,Assistant Sub-Inspector,True,U014,urban_static,static_station,1992-12-06,2018-09-20,7.95,2023-12-05,False,0.3566,0.332,
P00006,37789612,Personnel 0006,Constable,True,U009,training,static_station,1994-07-12,2017-08-07,9.07,2025-08-03,False,0.3855,0.435,
P00007,90329064,Personnel 0007,Head Constable,True,U015,insurgency_affected,static_station,1993-02-10,2018-03-29,8.42,2025-02-15,True,0.8363,0.3893,
P00008,64497844,Personnel 0008,Assistant Sub-Inspector,True,U015,insurgency_affected,hard_area,2002-12-30,2025-01-13,1.63,2026-03-16,False,0.8363,0.7183,
P00009,82946859,Personnel 0009,Constable,True,U007,training,static_station,1996-05-25,2022-01-15,4.63,2024-10-31,False,0.2532,0.6274,
P00010,83220533,Personnel 0010,Head Constable,True,U006,border,field,1994-09-19,2021-04-21,5.36,2024-11-30,False,0.6739,0.706,
P00011,34564204,Personnel 0011,Commandant,False,U007,training,static_station,1990-05-18,2013-06-24,13.19,2026-01-08,False,0.2532,0.2948,
P00012,67265737,Personnel 0012,Head Constable,True,U001,urban_static,static_station,1989-02-16,2012-06-23,14.19,2025-08-19,False,0.5535,0.678,
P00013,85387999,Personnel 0013,Constable,True,U013,border,field,1999-03-23,2022-08-09,4.06,2024-10-18,False,0.5538,0.6568,
P00014,85987524,Personnel 0014,Inspector,False,U004,urban_static,static_station,1995-02-06,2019-07-23,7.11,2024-04-23,True,0.4395,0.5687,
P00015,48247394,Personnel 0015,Constable,True,U008,border,field,1999-07-08,2023-09-28,2.93,2026-02-10,False,0.5738,0.6939,
P00016,81210789,Personnel 0016,Constable,True,U016,border,field,1994-04-11,2020-06-29,6.17,2025-08-22,True,0.7134,0.5611,
P00017,25777823,Personnel 0017,Assistant Sub-Inspector,True,U003,urban_static,static_station,1969-05-01,1992-08-31,34.0,2024-11-14,False,0.3722,0.3222,
